symbol,t_entry,event_id,t_signal,entry_price,direction,t_entry_idx,mode,atr_entry,tp,sl,check_ok,src_ohlcv,src_events,y,ret,exit_idx,exit_time,exit_reason,bars_held,holding_bars
nke,2013-09-11 00:00:00+00:00,NKE_EVT_20130911_000000_10,2013-09-10 00:00:00+00:00,30.2932,1,763,timestamp,0.5043926981244556,31.30198539624891,29.788807301875543,True,NKE_1d_15y.parquet,NKE_events.csv,1,0.03230072083005131,768,2013-09-18 00:00:00+00:00,TP,5,5
nke,2013-11-04 00:00:00+00:00,NKE_EVT_20131104_000000_11,2013-11-01 00:00:00+00:00,34.5225,1,801,timestamp,0.5129040233805026,35.54830804676101,34.0095959766195,True,NKE_1d_15y.parquet,NKE_events.csv,1,0.02871418775468204,809,2013-11-14 00:00:00+00:00,TP,8,8
nke,2014-03-10 00:00:00+00:00,NKE_EVT_20140310_000000_12,2014-03-07 00:00:00+00:00,36.0298,1,886,timestamp,0.5502773200627143,37.13035464012543,35.47952267993729,True,NKE_1d_15y.parquet,NKE_events.csv,0,-0.016272838596459338,890,2014-03-14 00:00:00+00:00,SL,4,4
nke,2014-04-08 00:00:00+00:00,NKE_EVT_20140408_000000_13,2014-04-07 00:00:00+00:00,32.8645,-1,907,timestamp,0.6125247480208995,31.6394505039582,33.4770247480209,True,NKE_1d_15y.parquet,NKE_events.csv,0,-0.01963788428306834,908,2014-04-09 00:00:00+00:00,SL,1,1
nke,2014-04-14 00:00:00+00:00,NKE_EVT_20140414_000000_14,2014-04-11 00:00:00+00:00,32.6295,-1,911,timestamp,0.6398015592926978,31.349896881414605,33.2693015592927,True,NKE_1d_15y.parquet,NKE_events.csv,0,-0.02060807120221575,913,2014-04-16 00:00:00+00:00,SL,2,2
nke,2014-09-18 00:00:00+00:00,NKE_EVT_20140918_000000_15,2014-09-17 00:00:00+00:00,37.4776,1,1020,timestamp,0.5027178312576444,38.48303566251529,36.97488216874236,True,NKE_1d_15y.parquet,NKE_events.csv,0,-0.014413821356160539,1022,2014-09-22 00:00:00+00:00,SL,2,2
nke,2014-10-22 00:00:00+00:00,NKE_EVT_20141022_000000_16,2014-10-21 00:00:00+00:00,41.5085,1,1044,timestamp,0.8116824392766842,43.131864878553365,40.69681756072331,True,NKE_1d_15y.parquet,NKE_events.csv,1,0.03810921566795644,1054,2014-11-05 00:00:00+00:00,TP,10,10
nke,2014-12-05 00:00:00+00:00,NKE_EVT_20141205_000000_17,2014-12-04 00:00:00+00:00,45.4483,1,1075,timestamp,0.6227318605953454,46.69376372119069,44.82556813940466,True,NKE_1d_15y.parquet,NKE_events.csv,0,-0.014701983585642231,1076,2014-12-08 00:00:00+00:00,SL,1,1
nke,2015-02-09 00:00:00+00:00,NKE_EVT_20150209_000000_18,2015-02-06 00:00:00+00:00,42.0262,-1,1118,timestamp,0.7778366553492162,40.47052668930157,42.80403665534922,True,NKE_1d_15y.parquet,NKE_events.csv,0,-0.019508374665071382,1124,2015-02-18 00:00:00+00:00,SL,6,6
nke,2015-03-30 00:00:00+00:00,NKE_EVT_20150330_000000_19,2015-03-27 00:00:00+00:00,46.6134,1,1152,timestamp,0.7852986086749081,48.18399721734981,45.82810139132509,True,NKE_1d_15y.parquet,NKE_events.csv,0,-0.017847057040999093,1154,2015-04-01 00:00:00+00:00,SL,2,2
nke,2015-10-01 00:00:00+00:00,NKE_EVT_20151001_000000_20,2015-09-30 00:00:00+00:00,57.0176,1,1281,timestamp,1.3441523859242726,59.705904771848544,55.67344761407573,True,NKE_1d_15y.parquet,NKE_events.csv,1,0.04614868342140921,1291,2015-10-15 00:00:00+00:00,TP,10,10
nke,2016-01-28 00:00:00+00:00,NKE_EVT_20160128_000000_21,2016-01-27 00:00:00+00:00,55.9874,-1,1362,timestamp,1.3885458840509164,53.21030823189817,57.375945884050914,True,NKE_1d_15y.parquet,NKE_events.csv,0,-0.025801042449746014,1363,2016-01-29 00:00:00+00:00,SL,1,1
nke,2016-06-27 00:00:00+00:00,NKE_EVT_20160627_000000_22,2016-06-24 00:00:00+00:00,48.5332,-1,1466,timestamp,1.033203583910905,46.46679283217819,49.566403583910905,True,NKE_1d_15y.parquet,NKE_events.csv,0,-0.022288593867927697,1467,2016-06-28 00:00:00+00:00,SL,1,1
nke,2017-01-26 00:00:00+00:00,NKE_EVT_20170126_000000_23,2017-01-25 00:00:00+00:00,50.8259,1,1613,timestamp,0.8086334613718987,52.44316692274379,50.0172665386281,True,NKE_1d_15y.parquet,NKE_events.csv,0,-0.01690986999486277,1614,2017-01-27 00:00:00+00:00,SL,1,1
nke,2017-05-11 00:00:00+00:00,NKE_EVT_20170511_000000_24,2017-05-10 00:00:00+00:00,51.3703,-1,1686,timestamp,0.727621625437934,49.91505674912413,52.097921625437934,True,NKE_1d_15y.parquet,NKE_events.csv,1,0.027328494302658712,1689,2017-05-16 00:00:00+00:00,TP,3,3
nke,2018-06-15 00:00:00+00:00,NKE_EVT_20180615_000000_25,2018-06-14 00:00:00+00:00,71.5231,1,1962,timestamp,1.1018516260266424,73.72680325205329,70.42124837397336,True,NKE_1d_15y.parquet,NKE_events.csv,0,-0.016405535079249134,1966,2018-06-21 00:00:00+00:00,SL,4,4
nke,2019-09-26 00:00:00+00:00,NKE_EVT_20190926_000000_26,2019-09-25 00:00:00+00:00,88.8926,1,2284,timestamp,1.7942823733279107,92.48116474665582,87.09831762667208,True,NKE_1d_15y.parquet,NKE_events.csv,0,0.014068745879859512,2294,2019-10-10 00:00:00+00:00,TIMEOUT,10,10
nke,2019-10-10 00:00:00+00:00,NKE_EVT_20191010_000000_27,2019-10-09 00:00:00+00:00,90.7171,1,2294,timestamp,1.7882121343805086,94.29352426876102,88.92888786561949,True,NKE_1d_15y.parquet,NKE_events.csv,0,-0.020711963173211223,2304,2019-10-24 00:00:00+00:00,SL,10,10
nke,2020-03-24 00:00:00+00:00,NKE_EVT_20200324_000000_28,2020-03-23 00:00:00+00:00,64.087,-1,2407,timestamp,5.08577951040567,53.91544097918866,69.17277951040568,True,NKE_1d_15y.parquet,NKE_events.csv,0,-0.08035742834593085,2408,2020-03-25 00:00:00+00:00,SL,1,1
nke,2020-09-09 00:00:00+00:00,NKE_EVT_20200909_000000_29,2020-09-08 00:00:00+00:00,110.755,1,2524,timestamp,2.344337795969333,115.44367559193866,108.41066220403066,True,NKE_1d_15y.parquet,NKE_events.csv,1,0.041333760028338884,2525,2020-09-10 00:00:00+00:00,TP,1,1
nke,2021-07-29 00:00:00+00:00,NKE_EVT_20210729_000000_30,2021-07-28 00:00:00+00:00,163.569,1,2747,timestamp,2.744904633492875,169.05880926698575,160.82409536650712,True,NKE_1d_15y.parquet,NKE_events.csv,1,0.032562651034033,2750,2021-08-03 00:00:00+00:00,TP,3,3
nke,2021-09-21 00:00:00+00:00,NKE_EVT_20210921_000000_31,2021-09-20 00:00:00+00:00,153.167,-1,2784,timestamp,2.8882720129361736,147.39045597412766,156.05527201293617,True,NKE_1d_15y.parquet,NKE_events.csv,0,-0.019857012365171234,2786,2021-09-23 00:00:00+00:00,SL,2,2
nke,2022-05-19 00:00:00+00:00,NKE_EVT_20220519_000000_32,2022-05-18 00:00:00+00:00,108.038,-1,2951,timestamp,4.760997651794085,98.51600469641184,112.79899765179408,True,NKE_1d_15y.parquet,NKE_events.csv,0,-0.04506780625144946,2957,2022-05-27 00:00:00+00:00,SL,6,6
nke,2022-10-21 00:00:00+00:00,NKE_EVT_20221021_000000_33,2022-10-20 00:00:00+00:00,86.7537,-1,3058,timestamp,3.437195793992868,79.87930841201425,90.19089579399288,True,NKE_1d_15y.parquet,NKE_events.csv,0,-0.04062016368169752,3060,2022-10-25 00:00:00+00:00,SL,2,2
nke,2023-07-07 00:00:00+00:00,NKE_EVT_20230707_000000_34,2023-07-06 00:00:00+00:00,104.8,-1,3234,timestamp,2.6431667498259657,99.51366650034808,107.44316674982596,True,NKE_1d_15y.parquet,NKE_events.csv,0,-0.026221056773148566,3236,2023-07-11 00:00:00+00:00,SL,2,2
nke,2023-09-19 00:00:00+00:00,NKE_EVT_20230919_000000_35,2023-09-18 00:00:00+00:00,95.04,-1,3285,timestamp,1.8933702542918047,91.2532594914164,96.93337025429182,True,NKE_1d_15y.parquet,NKE_events.csv,1,0.03884365013240321,3288,2023-09-22 00:00:00+00:00,TP,3,3
nke,2023-12-11 00:00:00+00:00,NKE_EVT_20231211_000000_36,2023-12-08 00:00:00+00:00,117.79,1,3343,timestamp,2.090083909565689,121.9701678191314,115.69991609043431,True,NKE_1d_15y.parquet,NKE_events.csv,1,0.03448830816819248,3346,2023-12-14 00:00:00+00:00,TP,3,3
nke,2024-09-23 00:00:00+00:00,NKE_EVT_20240923_000000_37,2024-09-20 00:00:00+00:00,85.4,1,3539,timestamp,2.064043006073694,89.5280860121474,83.33595699392632,True,NKE_1d_15y.parquet,NKE_events.csv,1,0.04733824370196016,3542,2024-09-26 00:00:00+00:00,TP,3,3
nke,2024-11-19 00:00:00+00:00,NKE_EVT_20241119_000000_38,2024-11-18 00:00:00+00:00,74.5,-1,3580,timestamp,1.6798852615977302,71.14022947680454,76.17988526159773,True,NKE_1d_15y.parquet,NKE_events.csv,0,-0.023548795457687732,3583,2024-11-22 00:00:00+00:00,SL,3,3
nke,2025-04-04 00:00:00+00:00,NKE_EVT_20250404_000000_39,2025-04-03 00:00:00+00:00,53.22,-1,3672,timestamp,2.5292771188182552,48.161445762363485,55.749277118818256,True,NKE_1d_15y.parquet,NKE_events.csv,0,-0.04852493646783651,3673,2025-04-07 00:00:00+00:00,SL,1,1
